question,answer
深市新股上市首日临时停牌有何规定？,深交所新股上市停牌规则如下： 1、盘中停牌情形：股票上市首日连续竞价阶段出现盘中成交价较当日开盘价首次上涨或下跌达到或超过10%的，交易所对其实施盘中临时停牌。 2、盘中停牌时间： （1）临时停牌时间为30分钟； 临时停牌时间跨越14︰57的，于14︰57复牌并对已接受的申报进行复牌集合竞价。 （2）临时停牌期间，投资者可以申报，也可以撤销申报。复牌时，对已接受的申报进行复牌集合竞价。注：具体停复牌时间，以交易所公告为准。
深市港股通开通条件,您好，个人投资者参与深市港股通需满足以下条件要求： 1、证券账户及资金账户在申请权限开通前20个交易日日均资产不低于50万元； 2、具备港股通股票交易的基础知识，通过相关知识测评，测试分数不低于80分； 3、风险承受能力等级不低于积极型；其投资期限不短于“短期”；其可接受的投资品种类型包括“股票”； 4、需在我司开立标准的深市A股票账户； 5、不为“特别保护型”投资者。
深市港股通的投资者可以办理港股的转托管吗？,深市港股通的投资者可以办理港股的转托管。办理港股转托管时，为避免转托管失败及重复办理转托管，应留意不可办理转托管的情形，及自身是否享有尚未派发的权益证券或资金，并确定是否一并办理相关权益的转托管。如您已在转出托管单元申报过投票、供配股认购、股利选择权申报等，需与转出证券公司营业部共同确认是否要在转入托管单元重新申报。
深市A股的增发代码是什么？,您好，深A股票增发新股、发行可转换公司债券申购代码的首二位代码为07，后四位代码为该发行人A股证券代码的后四位。
深交所转股申报数量如何填写？,深交所转股数量处输入1张或1张的整数倍；
深交所转股申报当日如何撤销？,深交所转股申报当日可通过普通的股票撤单操作撤销。
深交所债券质押式回购竞价交易的有效竞价范围？,深交所债券质押式回购竞价交易的有效竞价范围：1、非上市首日开盘集合竞价的有效竞价范围为前收盘价的上下100%。2、连续竞价、收盘集合竞价的有效竞价范围为最近成交价的上下100%。
深交所债券的费用有哪些？,您好，深交所债券现券交易费用： 1、可转债：不超过成交金额的0.1%； 2、其他债券：不超过成交金额的0.02%；
深交所新股上市首日临时停牌期间接受委托吗？,深交所新股上市首日临时停牌期间，您可以申报，也可以撤销申报。复牌时，交易所主机对已接受的申报进行复牌集合竞价。
深交所上市债券实行全价交易有哪些？,您好，当前深交所上市的国债、地方政府债券、企业债券、公司债券、分离交易的可转换公司债券现券交易实行净价交易，可转换公司债券现券交易实行全价交易。
深交所上市债券实行净价交易有哪些？,您好，当前深交所上市的国债、地方政府债券、企业债券、公司债券、分离交易的可转换公司债券现券交易实行净价交易，可转换公司债券现券交易实行全价交易。
深交所配股认购名称的编制原则？,深交所配股认购名称的前四位字符取自其A股证券简称，后四位字符为“A1配”。
深交所逆回购的起点金额？,深交所逆回购起点为10张（即1000元）或整数倍，单笔最大数量不超过100万张。
深交所对竞价交易临时停牌有何规定？,您好，证券竞价交易出现以下情形之一的，深交易所可以根据市场需要，实施盘中临时停牌： 一、无价格涨跌幅限制股票交易出现下列情形的，交易所可以对其实施盘中临时停牌措施： （一）盘中成交价较当日开盘价首次上涨或下跌达到或超过10%的，临时停牌时间为1小时； （二）盘中成交价较当日开盘价首次上涨或下跌达到或超过20%的，临时停牌至14：57。 （三）盘中换手率达到或超过50%的，临时停牌时间为1小时。 （四）临时停牌时间跨越14：57的，于14：57复牌并对已接受的申报进行复牌集合竞价，再进行收盘集合竞价。 二、证券在9︰25前停牌的，当日复牌时对已接受的申报实行开盘集合竞价，复牌后继续当日交易。 三、证券在9︰30及其后临时停牌的，当日复牌时对已接受的申报实行盘中集合竞价，复牌后继续当日交易。 四、停牌期间，可以申报，也可以撤销申报。 注：具体停复牌时间，以交易所公告为准。
深交所B股证券代码的编制原则是什么？,深交所B股证券代码的首二位代码为20。若发行人已发行A股，则B股证券代码后四位取其A股证券代码的后四位；若发行人尚未发行A股，则预先按A股证券代码编制规则确定A股代码，然后按前述规则编制B股代码，其后发行的A股启用该预先编制的证券代码。
深港通和沪港通的交易日区别？,沪市港股通业务仅在沪港两地均为交易日并且能够满足结算安排时开通。深市港股通业务仅在深港两地均为交易日并且能够满足结算安排时开通。结算安排包含交易资金交收（T+2)安排与风控资金交收（T+1）安排。沪市港股通与深市港股通交易日一般情况下一致，特殊情况除外。
深港通股票为A+H股的，A股停牌与H股停牌是否同步？,您好，A+H股上市公司因存在任何未披露的内幕消息(或重大消息) ，深交所或联交所根据自身规则决定实施盘中停牌的，两地同步实施停牌。除此之外，在其他情况下，两地交易所将根据各自的规则，决定A+H股上市公司于各自市场是否需要实施停牌。
深港通股票交易如何操作？,您可以在港股通交易时间通过以下交易软件交易深市港股通： 1、WEB交易系统“股票-深市港股通-买入或卖出” 2、至诚版“港股通-深港通-买入或卖出” 3、金融终端“深港通-买入或卖出” 4、手机易淘金“交易-港股通-买入或卖出”菜单操作，输入价格、选择申报类型、数量。（温馨提示：软件可能会更新，请以实际显示菜单为准。）
深港通跟沪港通的额度能共用吗？,深港通下的港股通和沪港通下的港股通每日额度由深沪两家证券交易所分别控制，即均为105亿元人民币，互不影响、也不相互调剂。
深港通标的股票范围？,您好，深市港股通的股票范围包括恒生综合大型股指数的成份股、恒生综合中型股指数的成份股、定期调整考察截止日前十二个月港股平均月末市值不低于港币50亿元的恒生综合小型股指数的成份股，以及A+H股上市公司在联交所上市的H股。但不包括在深交所上市的A股被深交所实施风险警示、被暂停上市或者进入退市整理期的相应H股，A股在上交所风险警示板交易或被上交所暂停上市的A+H股上市公司的相应H股，在联交所以港币以外货币报价交易的股票。您可以登录深港通子网站（http:\\www.szse.cn\main\szhk）查询最新的港股通标的股票情况。
身份证号码变更后如何修改？,您好，如果您的身份证号码变更（非自然升位），变更手续一般需本人携带有效身份证明、资金账户卡和公安部门出具的变更证明及复印件到营业部柜台办理，建议您办理前先联系开户营业部确认具体办理流程及所需资料。
身份证过期如何办理？,【身份证有效期自助更新】：广发易淘金APP—右下角“我”—业务办理—证券账户类—身份证升位及有效期更新，资料审核后，办理结果将以短信方式通知您。 【身份证有效期临柜更新】：您可以携带新的有效身份证在交易时间前往开户营业部办理更新手续。
身份证过期可以办理开户吗？,您好，身份证过了有效期不能办理开户业务，建议办理好新的身份证再办理开户业务。 注：持有临时身份证可以临柜办理开户业务，办理前请先联系开户营业部确认办理流程。
身份证到期影响账户交易吗？,身份证到期不会影响账户交易，但是如果超过3个月未更新身份证资料，账户资金转出将会受限制。建议您尽快更新身份证信息。
申请期权交易权限需具备哪些模拟交易经历？,您好，个人投资者申请一级、二级或者三级交易权限的，应当具备相应的期权模拟交易经历。 一级投资者模拟交易经历须包括备兑开仓及保护性认沽期权的买入开仓、相对应的平仓以及行权; 二级投资者模拟交易经历须在一级投资者模拟交易经历的基础上增加期权合约的买入开仓、卖出平仓; 三级投资者模拟交易经历须在一级、二级投资者模拟交易的基础上增加期权合约的卖出开仓及买入平仓。
申购新股后为何查询不到配号？,您查询不到新股配号，有可能是以下原因造成的：（1）重复申购；（2）已被列入限制申购名单；
申购开放式基金时提示证券停牌,您好，请核实输入的基金代码是否正确、使用的菜单是否正确。
申购基金时扣费方式？,申购基金主要有两种扣费方式—前端收费和后端收费。
申报深市股票委托时，提示：证券账户无效，该如何处理？,您好，出现此情况可能是以下原因： 1、深A股东卡可以在多个券商处登记，如果您在某个券商处登记并长时间不交易，可能导致该券商将您的股东卡注销，之后您在其他券商交易深市股票时就会提示"证券账户无效”。此情况需您本人交易时间带身份证到开户营业部办理相关手续。 2、您的深A股东卡休眠，T日到营业部进行注销重开，当日交易深市股票，系统也会提示“证券账户无效”，委托状态是：废单。建议您下一交易再进行委托交易。
上证基金通如何修改分红方式,您好，上证基金通（场内份额）可以通过我司交易系统的股票买入\卖出菜单方式修改分红方式： 1、份额分红：方向--买入、代码：523***、价格：100、数量：100 2、现金分红：方向--卖出、代码：523***、价格：101、数量：100 备注： 1、普通货币基金分红方式只有红利转投，所以无需进行分红方式设置。 2、权益登记日前（不含当天）修改分红方式对本次分红有效。
上市公司收购可采取哪些方式？,您好，我国上市公司收购可以采取要约收购或者协议收购的方式。要约收购是指收购方通过向目标公司股东发出收购要约的方式购买该公司的有表决权证券的行为；协议收购即收购方通过与目标公司的股票持有人达成收购协议的方式进行收购。
上市公司进行重大资产重组，停牌时间最长期限是多久？,上市公司因筹划重大资产重组停牌的，应当承诺自发布进入重大资产重组程序的公告日起至重大资产重组预案或者草案首次披露日前，停牌时间原则上不超过30个自然日。确有必要延期复牌的，上市公司可以在停牌期满前按本所有关规定申请延期复牌，累计停牌时间原则上不超过3个月。上市公司申请停牌到期后未申请延期或虽申请延期但未获同意的，证券应该复牌。具体情况请以上市公司公告为准。
上交所债券质押式回购竞价交易的有效竞价范围？,上交所债券质押式回购竞价交易的有效竞价范围： 1、集合竞价阶段申报无价格限制。 2、连续竞价阶段： 不高于即时揭示的最低卖出价格的110%且不低于即时揭示的最高买入价格的90%；同时不高于上述最高申报价与最低申报价平均数的130%且不低于该平均数的70%；
上交所债券逆回购申报数量要求？,您好，上交所债券逆回购申报的数量是100手（即10万元）或其整数倍，单笔最大数量不超过10万手。
上交所债券的费用有哪些？,上交所债券现券交易费用：按不超过成交金额的0.02%，起点1元；
上交所新股上市首日有效申报价格的范围？,您好，上交所新股上市首日的有效申报价格范围： 1、集合竞价阶段，有效申报价格不得高于发行价格的120%且不得低于发行价格的80%； 2、连续竞价阶段，有效申报价格不得高于发行价格的144%且不得低于发行价格的64%。 3、无价格涨跌幅限制的证券，连续竞价阶段，申报价格不高于即时揭示的最低卖出价格的110%且不低于即时揭示的最高买入价格的90%；同时不高于上述最高申报价与最低申报价平均数的130%且不低于该平均数的70%； 4、集合竞价阶段未产生开盘价的，以当日第一笔成交价格作为开盘价。
上交所新股上市首日临时停牌期间接受委托吗？,在盘中临时停牌期间（包括开盘临时停牌1小时的情况），上交所不接受您的委托申报（委托单自动废单），但您可以撤销未成交的申报。
上交所逆回购品种和代码有哪些？,上交所回购品种有：1天国债回购（R－001代码131810）、2天国债回购（R－002代码131811）、3天国债回购（R－003代码131800）、4天国债回购（R－004代码131809）、7天国债回购（R－007代码131801）、14天国债回购（R－014代码131802）、28天国债回购（R－028代码131803）、91天国债回购（R－091代码131805）、182天国债回购（R－182代码131806）。
上交所逆回购的起点金额？,上交所逆回购起点为1000张（即10万元）或其整数倍，单笔最大数量不超过100万张。
上交所可转债债转股的转股数量规定？,上交所可转债债转股数量要输10张或10张的整数倍。
上交所股票期权行权价格间距如何设置？,您好，行权价格间距是基于同一合约标的的期权合约相邻两个行权价格的差值。例如： “上证50ETF期权”的行权价格间距是3元或以下为0.05元，3元至5元（含）为0.1元，5元至10元（含）为0.25元，10元至20元（含）为0.5元，20元至50元（含）为1元，50元至100元（含）为2.5元，100元以上为5元。
上交所股东大会网络投票平台网址？,上交所股东大会网络投票地址为：http:\\biz.sse.com.cn\sseportal\ps\zhs\ssnss\gddh_guide.jsp
上交所对竞价交易临时停牌有何规定？,您好，证券竞价交易出现以下情形之一的，上交易所可以根据市场需要，实施盘中临时停牌： （一）无价格涨跌幅限制的股票盘中交易价格较当日开盘价首次上涨或下跌超过10%（含）、单次上涨或下跌超过20%（含）的； （二）无价格涨跌幅限制的国债、地方政府债和政策性金融债盘中交易价格较前收盘价首次上涨或下跌超过10%（含）、单次上涨或下跌超过20%（含）的； （三）无价格涨跌幅限制的其他债券盘中交易价格较前收盘价首次上涨或下跌超过20%（含）、单次上涨或下跌超过30%（含）的； （四）无价格涨跌幅限制的股票盘中换手率（成交量除以当日实际上市流通量）超过80%（含）的；
上海ST、*ST股的交易规则？,上海ST、*ST股的交易规则如下： （1）当日通过竞价交易和大宗交易累计买入的单只风险警示股票（上海ST、*ST股），数量不得超过50万股。 （2）上海ST、*ST股价格的涨跌幅限制一般为5%，但A股前收盘价格低于0.1元人民币的，其涨跌幅限制为0.01元人民币，B股前收盘价格低于0.01美元的，其涨跌幅限制为0.001美元。 （3）上海ST、*ST股连续3个交易日内收盘价格涨跌幅偏离值累计达到+15%，属于异常波动，上交所将公告异常波动期内买入、卖出金额最大的5家证券营业部名称与买卖金额。 （4）上海ST、*ST股盘中换手率达到或超过30%的属于异常波动，上交所可以根据市场需要对股票实施盘中临时停牌，停牌时间持续至当日14:55。
三板交易权限如何取消？,您可在交易时间携带身份证等相关证件到开户营业部办理取消手续。
若手机丢失，需要重新申请电子签名吗？,若手机丢失无需重新申请，电子签名存储于云端，与设备无关。
如何转让中小企业私募债券？,中小企业私募债券在深交所综合协议交易平台以全价方式进行转让。转让单笔现货交易数量不得低于5000张或者交易金额不得低于人民币50万元。试点初期，综合协议交易平台仅接受投资者“成交申报”指令，不接受“意向申报”和“定价申报”指令。私募债券成交价格由买卖双方在前收盘价的上下30%之间自行协商确定。
如何注销证券账户？,如果您需要注销A股账户，在证券账户持仓以及资金为零，且不存在与证券账户、资金账户相关的未了结业务的情况下，可以本人携带有效身份证在交易时间到开户营业部办理销户。
如何注销与理财账户相关联的银行卡？,淘金钱包理财账户注销银行卡有以下两种方式：1、广发网登录易淘金网站--广发通中心--账户中心--我的银行卡，在对应的银行卡点击删除；2、下载安装“理财APP”--我的银行卡，在对应的银行卡点击删除。
如何注销信用账户？,应当向为其开立信用证券账户的证券公司申请办理注销手续。在注销信用证券账户前，投资者应当了结全部的融资融券交易，并将剩余证券划转至其普通证券账户。 证券账户的注销： 投资者因为特殊情况需要销号的可以到证劵公司销号，办理销号手续必须本人亲自去，自然人申请销号账号时，必须由本人必须携带有效证件前往开户点填写《注销证劵账号申请表》
如何注销三方存管账户？,注销三方存管一般发生在客户注销资金账户或变更三方存管银行时，注销前提： 1、资金账户余额为零； 2、不存在与该资金账户相关的未了结业务。 如：已申报配股交易，或已参与新股、基金申购尚未处理完毕；存在买断式回购交易、约定购回交易、质押式回购交易、融资融券及转融通等未了结业务；存在其他在途权益或具有中国结算规定的其他未交收、待交收、待处置业务等未了结业务情况。 办理流程：请您在交易时间携带相关材料到营业部柜台办理，具体办理流程以营业部指引为准。
如何重置信用账户密码？,您好，办理信用账户密码重置需亲临营业部现场： 1、个人投资者在交易时间携带本人有效身份证件、信用证券账户卡、资金帐户卡到开户营业部柜台办理 2、机构客户在交易时间携带经法定代表人签章并加盖公章的法人授权清密委托书、代理人身份证件、资金账户卡、证券账户卡到开户营业部柜台办理。
如何修改账户资金密码？,您好，您可以通过以下方式修改主资金账户的交易密码、资金密码： 1、电话委托系统：通过“7修改帐户信息”→“2修改资金密码”操作修改。 2、至诚版、金融终端：登录交易系统，通过“修改密码”菜单，密码类型选择“资金密码”。 3、至易版：登录系统后，通过“普通交易”—“修改密码”菜单，密码类型选择“普通资金密码”进行修改。 4、手机易淘金：登录交易后，通过“我”－“业务办理”— “密码修改”菜单选择“修改证券资金密码”进行修改。 5、易淘金网站：登录易淘金网站后，通过“广发通中心”－“账户中心”—“安全中心”—“密码管理”—“资金账户密码”进行修改。 （温馨提示：软件可能有更新，请以实际显示为准）
如何修改账户交易密码？,您好，您可以通过以下方式修改主资金账户的交易密码：1、电话委托系统：通过“7修改帐户信息”→“1修改交易密码”操作修改。2、至诚版、金融终端：登录交易系统，通过“修改密码”菜单，密码类型选择“交易密码”。3、至易版：登录系统后，通过“普通交易”—“修改密码”菜单，密码类型选择“普通交易密码”进行修改。4、手机至慧版：登录系统后，通过“在线交易”－“修改交易密码”菜单修改。5、手机易淘金：登录交易后，通过“我”－“业务办理”— “证券账户类”—“证券密码修改”-菜单选择“修改证券交易密码”进行修改。6、易淘金网站：登录易淘金网站后，通过“广发通中心”－“账户中心”—“安全中心”—“密码管理”—“交易账户密码”进行修改。7、本人携带二代有效身份证交易时间到开户营业部修改。（温馨提示：1、如果您普通交易密码与信用交易密码相同，在进行修改普通交易密码或信用交易密码时，另一密码也会跟着修改。如需设置为不一样，可到营业部临柜办理。2、软件可能会更新，请以实际显示菜单为准）
如何修改金融终端个股分时图下方的成交量柱状线的颜色？,您可打开广发证券金融终端，点击“设置”—“系统设置”-“设置4”-勾选“分时图中成交量用涨跌红绿色显示”，在设置成功后在重新进到个股的分时图，下方显示成交量将不再是单一的成交量颜色，而是有三种颜色。温馨提示：分时成交量颜色区分时，三种颜色：红色表示成交量是价格上涨过程中成交的；绿色表示成交量是价格下跌过程中成交的；白色表示是价格不变过程中成交的量。
如何修改金融终端K线图的副图指标参数？,您好，您可打开广发证券金融终端，进入个股K线图界面，右键点击副图指标，选择“副图指标”-“调整指标参数”进行修改。
如何修改接收新股中签提醒短信的手机号码？,您好，您可以通过以下方式修改接收新股中签提醒短信的手机号： 1、若修改普通账户手机号：您可通过登录手机易淘金-我-业务办理-证券账户类-修改个人信息、金融终端—服务-修改客户资料、至诚版-服务-修改客户信息或其他支持修改的系统进行手机号码修改。（软件可能有更新，请以实际显示菜单为准） 2、若修改信用账户手机号：即修改追保手机号，可在交易时间致电95575按9转人工或联系开户营业部进行修改。
如何修改交易密码,您好，您可以通过以下方式修改主资金账户的交易密码：1、电话委托系统：通过“7修改帐户信息”→“1修改交易密码”操作修改。2、至诚版、金融终端：登录交易系统，通过“修改密码”菜单，密码类型选择“交易密码”。3、至易版：登录系统后，通过“普通交易”—“修改密码”菜单，密码类型选择“普通交易密码”进行修改。4、手机至慧版：登录系统后，通过“在线交易”－“修改交易密码”菜单修改。5、手机易淘金：登录交易后，通过“我”－“业务办理”— “证券账户类”—“证券密码修改”-菜单选择“修改证券交易密码”进行修改。6、易淘金网站：登录易淘金网站后，通过“广发通中心”－“账户中心”—“安全中心”—“密码管理”—“交易账户密码”进行修改。7、本人携带二代有效身份证交易时间到开户营业部修改。（温馨提示：1、如果您普通交易密码与信用交易密码相同，在进行修改普通交易密码或信用交易密码时，另一密码也会跟着修改。如需设置为不一样，可到营业部临柜办理。2、软件可能会更新，请以实际显示菜单为准）
如何修改成本价数值？,您可以通过以下方式修改成本价数值： 1、营业部柜台：本人携带二代有效身份证交易时间到开户营业部办理； 2、通达信\核新系统：登录交易后通过”股票-查询-资金股份\股票“自助修改成本价数值。 3、人工修改：致电（020）95575转9人工办理。（温馨提示：修改成本价数值立即生效，若当日买的股票还未进行交收，修改成本价数值不会生效，另外建议您不要在买入当天修改成本价，该种情况会导致买入成交金额翻倍计算，最终影响成本价数值）。
如何通过电话委托查询新股中签？,新股中签查询在T+2日（T为申购日）上午可通过广发证券电话委托系统查看，具体菜单如下：拨打95575后选择2查询-6查新股信息-4查中签结果（普通账户）注意：新股中签上海市场每中一个号是1000股，深圳每中一个号是500股。
如何通过电话委托查询新股申购配号？,新股配号查询时间为T+1日（T日为新股申购日）。电话委托查询新股配号方式如下：（普通账户）拨打95575，根据语音提示输入账号和密码，选择2查询-6查新股信息-2查新股配号。
如何调整佣金费率？,您好，股票交易的佣金按照不超过成交金额的0.3%，买卖双向收取，如需调整，可咨询您的开户所在营业部。
如何调整融资融券授信额度？,您好，您可通过网上交易客户端或手机证券发起授信总额度变更申请，系统将根据您账户T-1日总资产与征信情况实行自动授信。
如何调整期权交易权限？,如您的个知识测试成绩、期权模拟交易经历以及金融类资产状况发生变化，满足较高交易权限对应的资格要求的，可以向营业部申请或通过网上易淘金、手机易淘金调整交易权限。
如何收取股票交易佣金？,股票交易佣金按不超过成交金额的千分3进行收取（买卖双边收取），具体佣金率请与营业部或客户经理沟通。
如何开户？,自助开户的端口有： 1、关注广发证券微信（gf95575）后，在微信的微营业厅-开户业务办理-立即开户，下载好手机开户端后，按照步骤提示进行； 2、登陆广发官网（www.gf.com.cn）-网上开户-扫描开户二维码-下载开户APP， 3、通过第三方渠道引流开户（如新浪、百度、银行专版开户APP等）。
如何交易股票？,您好，股票交易一般通过交易系统的“买入”或“卖出”菜单操作，您可以通过http:\ ew.gf.com.cn\软件下载-网上交易，下载我司行情交易软件。 温馨提示：如有其它问题，请您描述您的具体疑问或遇到的报错信息，我们为您进一步解答。
如何更换银行卡？,您可以在易淘金首页点击【个人信息】-【我的银行卡】删除银行卡，再添加其他银行卡。如该银行卡购买的资产未全部取出，您不能删除该卡，可以等交易完结取出所有资产后再删卡或者点击【银行卡换卡指引】根据提示申请人工换卡操作。
如何更换同一银行的三方存管银行卡？,需要您本人持有效证件和新的同名银行借记卡到银行申请变更银行结算账户（因该业务属于银行业务，能否网上办理，请与相应的银行确认）。 温馨提示： 1、可能需要用到资产账号。（可拨打95575转人工验证查询）； 2、办理当天不能有银证转账，否则不能办理银行账户变更手续（以银行指引为准）； 3、若变更为异地招行卡，办理流程会较复杂，具体以银行指引为准。
如何更换不同银行的三方存管？,您好，请确认是以下哪种情况： 1、如您原三方存管账户已绑定成功，现需更换其他银行的卡作为三方存管账户，需本人带身份证和新的银行账户于交易时间到广发证券营业部办理（暂不支持网上办理）。 注：（1）办理前请先将账户资金转出到银行卡； （2）办理当天不得有任何交易、新股申购、现金增利未解约、港股持仓或未交收等在途业务及转账。 2、如您是通过网上自助方式开户的新客户，且三方存管未绑定成功，想更换为其他银行，则可通过我司易淘金APP自助办理：易淘金-我-业务办理-证券账户类-自助开户三方存管补办。
如何查询证券账号？,可通过以下方式查询： 1、通过广发证券金融终端交易软件登录交易后，在交易委托（买入、卖出）下单界面会显示股东代码即为证券账号。 2、通过广发至诚版交易软件登录交易后，在窗口模式（在精简模式可点击还原，显示窗口模式）的界面上方会显示“上海A股、股东账号”可切换选择查看。 3、通过手机易淘金软件登录交易后，在交易委托（买入、卖出）下单界面，点击在上方“设置”可查询股东账号。
如何查询佣金费率？,您好，您的交易佣金收取情况可通过以下方式查询： 1、每笔交易的佣金收取可以通过我司电脑交易系统里面的“查询-交割单”菜单进行查询，里面有各类费用收取明细。 2、如已有交易并且佣金收费超过5元，客户可拨打95575通过验证身份后查询交易账户的佣金设置情况。 3、您也可以联系开户营业部查询账户佣金费率情况。
如何查询是否已开通创业板权限？,您好，可致电95575验证身份查询或联系您的开户营业部查询。
如何才可以买股票？,首先您需要先开通股票账户，然后从关联的银行账户转钱到股票账户里面，方可以买股票。
如何绑定多张银行卡？,您好，如果您需要绑定多张银行卡，可以本人携带有效身份证、需绑定的同名银行借记卡在交易时间到营业部现场办理单客户多存管业务，暂不支持在网上办理。 （温馨提示：同一客户号最多可以绑定5张银行卡，但必须是不同银行的银行卡。）
客户编号忘记了如何找回？,您好，如果您记得交易密码，可通过以下途径查询客户编号： 1、易淘金app：我—业务办理—证券账户类—个人信息—找回客户编号。 2、易淘金网站：网上营业厅—证券账户类—找回客户编号。 3、可以拨打我司全国统一的客服热线95575或者020-95575转9人工客服查询。 如果您不记得交易密码，可以本人在交易时间带上有效身份证到开户营业部重置交易密码并查询客户编号。
开通创业板权限对账户有什么要求？,您好，您要在我司开通创业板权限，则需在我司下挂或新开立深圳A股账户。
股票可以当天买入当天卖出吗？,股票实行T+1"交收规则。即当天买入的股票，当天不能卖出，股份于当晚清算后才入账。下一个交易日可以卖出。"
股票交易费用,A股交易费用一般包括：佣金、印花税。 （1）佣金：不超过成交额的3‰（含经手费、证管费、过户费），起点5元（双向）。 其中，经手费为成交额的0.0487‰，证管费为成交额的0.02‰，过户费为成交额的0.02‰。 （2）印花税：成交额的1‰，卖方单边缴纳。
股票的交易时间？,您好，交易时间为每个交易日（周一至周五）9:15－9:25、9:30－11:30、13：00－15:00。其中，9:15至9:25为开盘集合竞价时间，14:57-15:00为收盘集合竞价时间，其余时段为连续竞价时间，交易所另有规定的除外。
多少资金能达到多少的佣金？,股票交易佣金按不超过成交金额的千分3进行收取（买卖双边收取），具体佣金率请与营业部或客户经理沟通。
当日卖出股票后可以转出资金吗？,您好，不同证券清算交收时间不同，故卖出后资金可转取时间也不一样，具体如下： T日卖出A股，资金T日可用，T+1日可取；T日卖出B股，资金T日可用，T+4日可取。
创业板如何开通,交易300开头的创业板股票需要开通创业板交易权限，如果您是首次开通创业板，需要有两年的股票交易经验，满足条件可本人带上身份证到广发证券营业部办理开通；如果您未满足条件，可先致电到营业部确认。如果您在别的账户有开通创业板，可通过广发证券易淘金-我-业务办理-证券账户类-创业板转签，进行办理。
创业板权限转签如何操作？,若您已在广发或其他券商成功开通过创业板权限，则可通过广发证券易淘金办理转签。相关规定如下： 1、转签前提： （1）需在广发证券下挂或新开立深圳A股账户（即：您原深A账户已开过创业板权限，现在广发证券新开一个深A账户，也可以办理创业板转签）； （2）已在广发证券或其他券商成功开通过创业板权限（深圳股东卡处正常状态，不含已休眠、已注销等异常情况）。 2、转签流程： （1）业务路径：易淘金APP“我”-业务办理-证券账户类-创业板转签，选择需转签的股东卡号，根据页面提示填写第二联系人信息并签署《创业板市场投资风险揭示书》后提交转签申请； （2）受理时间：可7×24小时提交创业板转签申请。 温馨提示：若原创业板对应的深圳股东账户处于销户、休眠等非正常状态的，不能通过线上进行创业板转签，您须到营业部柜台按新开创业板业务规则进行办理。
创业板权限首次开通？,您好，交易300开头的创业板股票需开通创业板权限才能操作。您若是个人投资者，需满足以下两个条件： 1、两年以上股票交易经验； 2、创业板业务风险等级为“中风险”，适配客户风险等级在“稳健型”或以上，投资期限为“短期”，投资品种为“股票”。 若您符合创业板开通条件，可以带上您的有效身份证，交易时间前往营业部开通，临柜办理后一般需2个交易日左右开通。 温馨提醒： （1）创业板首次开通网上无法办理，必须在营业部柜台办理； （2）如您想去办理的营业部不是开户所在营业部，建议在去办理前，先电话联系该营业部确认是否能办理，您可以在对话框输入营业部名称，可查询营业部电话号码和地址等信息。
创业板权限开通的办理时间,您好，首次开通创业板权限需在交易日的交易时间临柜办理。而创业板权限转签时间为：7×24小时可提交创业板转签申请，一般情况下，交易时段内（截至下午16：00）提交的转签申请可即时办理转签，非交易时段内提交的将在下一个交易时间段办理转签。
ST股票为何无法买入？,您好，交易上海ST或*ST的股票属于中高风险业务，需要签署风险揭示书后才可以购买，您可通过以下路径签署风险揭示书： （1）易淘金网站，路径：广发通中心-业务中心-业务办理-证券账户类-风险警示股票权限设置； （2）手机易淘金，路径：我-业务办理-证券账户类-风险警示股票（ST等）权限； （3）营业部现场 温馨提示： 1、自助办理该业务须通过电子签名方式签署相关协议文档。 2、深圳ST或*ST股票无需开通权限可直接购买。
B股以什么币种交易？,沪市B股使用美元，深市B股使用港币交易。
B股是约定购回的标的券吗？,您好，目前B股不能作为约定购回式证券交易的标的证券。
B股实行T+0回转交易吗？,B股与A股交易均实行T+1制度，非T+0回转交易，即您当日买入的证券，在当日不能卖出，须第二天才能卖出。
B股交易的费用？,B股的交易费用包含佣金、印花税、结算费： 1、佣金：不超过成交金额的0.3%买卖双向收取，沪B起点1美元，深B起点5港币。您的手机佣金费率，可以自行查询计算，也可以联系95575或所属营业部查询； 2、印花税：成交金额的0.1%，卖出方收取； 3、结算费：沪B股按照成交金额0.05%，深B股结按照成交金额0.05%（上限500港元），买卖双向收取。
B股价格的最小变动单位？,您好，深圳证券交易所为0.01港元，上海交易所为0.001美元。
B股股票能作为融资融券的担保品吗？,B股股票是不能作为融资融券的担保品，担保证券可通过“广发证券官网”-“我们的业务”-“证券金融”-“业务公告”-“广发证券股份有限公司可充抵保证金证券范围及折算率”（网址：http://new.gf.com.cn/business/finance/news/guaranteed）进行查询。
B股的最小交易单位？,委托买卖及清算的价格以一股为准。买卖数额以一手即100股或其整数倍为单位，如持股有零数，则零数部分需一次性卖出不能产生新的零数。
B股的涨跌幅有限制吗？,B股交易也实行价格涨跌幅限制。除上市首日的证券外，每只证券的交易价格相对于上一交易日收市价的涨跌幅度不得超过10%，ST股票涨跌幅度不得超过5%。每只证券涨跌限价的计算公式为：上一交易日收市价×(1±10%)，计算结果四舍五入取至价格最小变动单位。
B股的委托申报方式？,您好，B股委托报价方式为限价委托、市价委托。
B股的交易时间？,B股的交易时间为：交易日每周一至周五，9：15-9：25，9：30-11：30，13：00-15：00。国家法定节假日和交易所公告的休市日，交易所市场休市。交易时间内因故停市，交易时间不作顺延。
